date,price,ma_small_long,ma_medium_long,ma_large_long,ma_small_short,ma_medium_short,ma_large_short,ma_slope,state_signal,order_signal,current_cash,cfd_units,portfolio_value,last_trade_investment,m_trade_profit ,stop_loss
03/12/2003 22:00,1065.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
04/12/2003 02:00,1066.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
04/12/2003 06:00,1068.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
04/12/2003 10:00,1066.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
04/12/2003 14:00,1067.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
04/12/2003 18:00,1067.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
04/12/2003 22:00,1067.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
05/12/2003 02:00,1067.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
05/12/2003 06:00,1067.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
05/12/2003 10:00,1064.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
05/12/2003 14:00,1066.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
05/12/2003 18:00,1062.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
07/12/2003 22:00,1061.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/12/2003 02:00,1059.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/12/2003 06:00,1059.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/12/2003 10:00,1060,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/12/2003 14:00,1062.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/12/2003 18:00,1069.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
08/12/2003 22:00,1070,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/12/2003 02:00,1070.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/12/2003 06:00,1072,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
09/12/2003 10:00,1072.2,1065.56,1066.11,1066.42,1065.56,1066.1,1066.64,0.12769,1,0,10000,0,10000,1,0,0
09/12/2003 14:00,1067.5,1065.57,1066.17,1066.66,1065.57,1066.05,1066.77,0.126503,1,0,10000,0,10000,1,0,0
09/12/2003 18:00,1060.7,1065.33,1065.79,1066.62,1065.33,1065.78,1066.73,0.124903,1,0,10000,0,10000,1,0,0
09/12/2003 22:00,1059.7,1064.84,1065.49,1066.55,1064.84,1065.38,1066.66,0.123225,1,0,10000,0,10000,1,0,0
10/12/2003 02:00,1059.2,1064.63,1065.09,1066.48,1064.63,1064.98,1066.43,0.121524,1,0,10000,0,10000,1,0,0
10/12/2003 06:00,1061,1064.57,1064.79,1066.3,1064.57,1064.66,1066.22,0.119718,1,0,10000,0,10000,1,0,0
10/12/2003 10:00,1060.7,1064.64,1064.47,1066.08,1064.64,1064.33,1066.01,0.1178,1,0,10000,0,10000,1,0,0
10/12/2003 14:00,1060.2,1064.7,1064.13,1065.86,1064.7,1063.98,1065.78,0.115488,1,0,10000,0,10000,1,0,0
10/12/2003 18:00,1060.7,1064.75,1063.82,1065.65,1064.75,1063.81,1065.57,0.113114,1,0,10000,0,10000,1,0,0
10/12/2003 22:00,1060.7,1064.64,1063.66,1065.45,1064.64,1063.51,1065.4,0.110812,1,0,10000,0,10000,1,0,0
11/12/2003 02:00,1061.4,1064.05,1063.41,1065.3,1064.05,1063.48,1065.22,0.108595,1,0,10000,0,10000,1,0,0
11/12/2003 06:00,1061.4,1063.44,1063.38,1065.12,1063.44,1063.46,1065.08,0.10633,1,0,10000,0,10000,1,0,0
11/12/2003 10:00,1059.7,1062.65,1063.28,1064.94,1062.65,1063.45,1064.9,0.104012,1,0,10000,0,10000,1,0,0
11/12/2003 14:00,1067.4,1062.32,1063.64,1064.96,1062.32,1063.86,1064.91,0.102813,1,0,10000,0,10000,1,0,0
11/12/2003 18:00,1072.7,1062.36,1064.28,1065.1,1062.36,1064.49,1065.03,0.10249,1,0,10000,0,10000,1,0,0
11/12/2003 22:00,1072.9,1062.74,1064.89,1065.23,1062.74,1065.03,1065.08,0.102142,1,0,10000,0,10000,1,0,0
12/12/2003 02:00,1073.2,1063.64,1065.41,1065.28,1063.64,1065.2,1065.09,0.101802,1,0,10000,0,10000,1,0,0
12/12/2003 06:00,1072.4,1064.54,1065.54,1065.27,1064.54,1065.32,1065.27,0.101305,1,0,10000,0,10000,1,0,0
12/12/2003 10:00,1073.9,1065.59,1065.73,1065.49,1065.59,1065.48,1065.48,0.100962,1,0,10000,0,10000,1,0,0
12/12/2003 14:00,1070.7,1066.29,1065.73,1065.61,1066.29,1065.42,1065.59,0.100381,1,0,10000,0,10000,1,0,0
12/12/2003 18:00,1074.4,1067.26,1065.84,1065.81,1067.26,1065.53,1065.74,0.10029,1,0,10000,0,10000,1,0,0
14/12/2003 22:00,1088.1,1069.26,1066.6,1066.3,1069.26,1066.56,1066.31,0.101073,1,0,10000,0,10000,1,0,0
