date,price,ma_small_long,ma_medium_long,ma_large_long,ma_small_short,ma_medium_short,ma_large_short,ma_slope,state_signal,order_signal,current_cash,cfd_units,portfolio_value,last_trade_investment,m_trade_profit ,stop_loss
21/08/2012 13:00,1419.2,1418.05,1418.05,1418.05,1418.05,1418.05,1418.05,0.235664,1,0,12,0,12,1,0,0
21/08/2012 17:00,1414.3,1417.74,1417.74,1417.74,1417.74,1417.74,1417.74,0.0891608,1,0,12,0,12,1,0,0
21/08/2012 21:00,1410.9,1417.15,1417.15,1417.15,1417.15,1417.15,1417.15,-0.162238,1,0,12,0,12,1,0,0
22/08/2012 01:00,1411.4,1416.67,1416.67,1416.67,1416.67,1416.67,1416.67,-0.381119,1,0,12,0,12,1,0,0
22/08/2012 05:00,1412.8,1416.15,1416.15,1416.15,1416.15,1416.15,1416.15,-0.423776,1,0,12,0,12,1,0,0
22/08/2012 09:00,1410.6,1415.72,1415.72,1415.72,1415.72,1415.72,1415.72,-0.653147,1,0,12,0,12,1,0,0
22/08/2012 13:00,1406.9,1415.01,1415.01,1415.01,1415.01,1415.01,1415.01,-1.00664,1,0,12,0,12,1,0,0
22/08/2012 17:00,1414.6,1414.77,1414.77,1414.77,1414.77,1414.77,1414.77,-0.913636,1,0,12,0,12,1,0,0
22/08/2012 21:00,1416.6,1414.74,1414.74,1414.74,1414.74,1414.74,1414.74,-0.742308,1,0,12,0,12,1,0,0
23/08/2012 01:00,1418.6,1414.82,1414.82,1414.82,1414.82,1414.82,1414.82,-0.463986,1,0,12,0,12,1,0,0
23/08/2012 05:00,1417,1414.58,1414.58,1414.58,1414.58,1414.58,1414.58,-0.145105,1,0,12,0,12,1,0,0
23/08/2012 09:00,1410,1413.58,1413.58,1413.58,1413.58,1413.58,1413.58,0.0164336,1,0,12,0,12,1,0,0
23/08/2012 13:00,1404,1412.31,1412.31,1412.31,1412.31,1412.31,1412.31,-0.0961538,1,0,12,0,12,1,0,0
23/08/2012 17:00,1402.2,1411.3,1411.3,1411.3,1411.3,1411.3,1411.3,-0.394406,1,0,12,0,12,1,0,0
23/08/2012 21:00,1402.5,1410.6,1410.6,1410.6,1410.6,1410.6,1410.6,-0.751049,1,0,12,0,12,1,0,0
